,level_0,index,up_count,down_count,total_count,polar_score,polarity
70,490,내수/NNG;부양/NNG,30.0,56.0,86.0,0.4984354269850188,Dovish
71,491,최저/NNG;내리/VV,30.0,43.0,73.0,0.6491252072363036,Dovish
72,497,소득/NNG;감소/NNG,30.0,37.0,67.0,0.7543887543557042,Dovish
73,502,내수/NNG;침체/NNG,30.0,42.0,72.0,0.6645805693133585,Dovish
74,504,경제/NNG;타격/NNG,30.0,50.0,80.0,0.5582476782232211,Dovish
75,510,부동산/NNG;활성화/NNG,29.0,36.0,65.0,0.7494991976145098,Dovish
76,511,실적/NNG;우려/NNG,29.0,39.0,68.0,0.6918454131826244,Dovish
77,519,물가/NNG;부진/NNG,29.0,39.0,68.0,0.6918454131826244,Dovish
78,520,인플레이션/NNG;하락/NNG,29.0,47.0,76.0,0.5740844917898373,Dovish
79,525,국채/NNG;수익률/NNG;오르/VV,29.0,47.0,76.0,0.5740844917898373,Dovish
80,533,불안/NNG;증폭/NNG,28.0,41.0,69.0,0.6354038613922841,Dovish
81,552,인상/NNG;충격/NNG,28.0,37.0,65.0,0.7040961707319905,Dovish
82,555,채권시장/NNG;안정/NNG,28.0,60.0,88.0,0.43419263861806084,Dovish
83,559,비용/NNG;낮/VV,28.0,39.0,67.0,0.6679886747970166,Dovish
84,561,소비/NNG;감소/NNG,28.0,37.0,65.0,0.7040961707319905,Dovish
85,566,인하/NNG;없/VA,27.0,50.0,77.0,0.5024229104008989,Dovish
86,568,고용시장/NNG;개선/NNG,27.0,48.0,75.0,0.5233571983342697,Dovish
87,579,fed/NNG;완화/NNG,27.0,38.0,65.0,0.6610827768432881,Dovish
88,582,민평/NNG;오르/VV,27.0,44.0,71.0,0.570935125455567,Dovish
89,591,외환시장/NNG;불안/NNG,26.0,34.0,60.0,0.7114921389119485,Dovish
90,595,수출/NNG;회복/NNG,26.0,39.0,65.0,0.6202751980258012,Dovish
91,604,개선/NNG;조짐/NNG,26.0,37.0,63.0,0.6538035871082769,Dovish
92,611,낮/VA;하락/NNG,26.0,38.0,64.0,0.636598229552796,Dovish
93,617,민평/NNG;내리/VV,25.0,38.0,63.0,0.6121136822623039,Dovish
94,620,주택가격/NNG;오르/VV,25.0,31.0,56.0,0.7503329008376628,Dovish
95,627,소비/NNG;촉진/NNG,25.0,34.0,59.0,0.6841270566461043,Dovish
96,634,악영향/NNG;줄/VV,25.0,34.0,59.0,0.6841270566461043,Dovish
97,637,인하/NNG;가능성/NNG;낮/VA,25.0,31.0,56.0,0.7503329008376628,Dovish
98,638,후퇴/NNG;우려/NNG,25.0,32.0,57.0,0.7268849976864857,Dovish
99,641,마이너스/NNG;떨어/VV,25.0,37.0,62.0,0.6286572952964201,Dovish
100,655,공급/NNG;증가/NNG,24.0,30.0,54.0,0.7443302376309615,Dovish
101,658,성장/NNG;둔화/NNG;우려/NNG,24.0,31.0,55.0,0.7203195848041563,Dovish
102,659,디플레이션/NNG;위험/NNG,24.0,30.0,54.0,0.7443302376309615,Dovish
103,666,소비/NNG;심리/NNG;개선/NNG,24.0,37.0,61.0,0.6035110034845632,Dovish
104,679,하락/NNG;강세/NNG,23.0,45.0,68.0,0.47554431848644757,Dovish
105,684,안정/NNG;위험/NNG,23.0,37.0,60.0,0.5783647116727065,Dovish
106,688,최대/NNG;인하/NNG,23.0,44.0,67.0,0.48635214390659415,Dovish
107,697,국고채/NNG;입찰/NNG;부담/NNG,23.0,34.0,57.0,0.629396892114416,Dovish
108,704,국채/NNG;상승/NNG,23.0,36.0,59.0,0.5944303981080595,Dovish
109,706,예상/NNG;증가/NNG,23.0,38.0,61.0,0.5631445876813196,Dovish
110,710,통안채/NNG;높/VA,22.0,35.0,57.0,0.5848309009957554,Dovish
111,711,인하/NNG;어렵/VA,22.0,40.0,62.0,0.511727038371286,Dovish
112,713,불확실성/NNG;증대/NNG,22.0,29.0,51.0,0.7058303977534979,Dovish
113,721,완화/NNG;효과/NNG,22.0,32.0,54.0,0.6396587979641075,Dovish
114,723,유동성/NNG;공급/NNG;확대/NNG,22.0,49.0,71.0,0.417736357854111,Dovish
115,730,수출/NNG;확대/NNG,22.0,34.0,56.0,0.6020318098485719,Dovish
116,732,신용등급/NNG;상승/NNG,22.0,31.0,53.0,0.6602929527371433,Dovish
117,733,가계/NNG;부채/NNG;우려/NNG,22.0,44.0,66.0,0.4652063985193509,Dovish
118,751,인하/NNG;가능성/NNG;크/VV,21.0,50.0,71.0,0.3907733747562548,Dovish
119,757,경제/NNG;하방/NNG;위험/NNG,21.0,26.0,47.0,0.7514872591466437,Dovish
120,768,달러원/NNG;급등/NNG,21.0,29.0,50.0,0.6737471978556115,Dovish
121,773,실업률/NNG;높/VA,21.0,27.0,48.0,0.7236543976967681,Dovish
122,776,최대/NNG;감소/NNG,21.0,30.0,51.0,0.6512889579270913,Dovish
123,789,가계/NNG;부채/NNG;늘/VV,20.0,41.0,61.0,0.45385990099448864,Dovish
124,792,소득/NNG;줄/VV,20.0,27.0,47.0,0.6891946644731124,Dovish
125,793,채권/NNG;가격/NNG;급락/NNG,20.0,26.0,46.0,0.7157021515682321,Dovish
126,795,내수/NNG;살/VV,20.0,25.0,45.0,0.7443302376309614,Dovish
127,801,노동시장/NNG;개선/NNG,20.0,27.0,47.0,0.6891946644731124,Dovish
128,807,수출/NNG;줄/VV,20.0,28.0,48.0,0.6645805693133584,Dovish
129,808,불안/NNG;높/VA,20.0,28.0,48.0,0.6645805693133584,Dovish
130,815,우려/NNG;증폭/NNG,20.0,27.0,47.0,0.6891946644731124,Dovish
131,823,성장/NNG;추세/NNG,20.0,29.0,49.0,0.6416639979577253,Dovish
132,841,신용등급/NNG;오르/VV,19.0,33.0,52.0,0.5356922164768283,Dovish
133,843,경제/NNG;성장률/NNG;하향/NNG,19.0,33.0,52.0,0.5356922164768283,Dovish
134,859,gdp/NNG;부진/NNG,19.0,24.0,43.0,0.736576797655639,Dovish
135,865,높/VA;위험/NNG,19.0,26.0,45.0,0.6799170439898206,Dovish
136,872,대출/NNG;인하/NNG,18.0,23.0,41.0,0.7281491455085493,Dovish
137,873,대외/NNG;여건/NNG;악화/NNG,18.0,27.0,45.0,0.6202751980258012,Dovish
138,894,인하/NNG;아니/VCN,18.0,27.0,45.0,0.6202751980258012,Dovish
139,905,하락/NNG;되돌/VV,18.0,30.0,48.0,0.5582476782232211,Dovish
140,906,대외/NNG;충격/NNG,18.0,27.0,45.0,0.6202751980258012,Dovish
141,918,국채선물시장/NNG;약세/NNG,18.0,27.0,45.0,0.6202751980258012,Dovish
142,927,채권시장/NNG;불안/NNG,18.0,34.0,52.0,0.4925714807851951,Dovish
143,930,통화/NNG;안정/NNG,17.0,24.0,41.0,0.6590423979024137,Dovish
144,942,수익/NNG;악화/NNG,17.0,22.0,39.0,0.7189553431662695,Dovish
145,957,불안/NNG;확대/NNG,17.0,24.0,41.0,0.6590423979024137,Dovish
146,958,피해/NNG;우려/NNG,17.0,22.0,39.0,0.7189553431662695,Dovish
147,961,인상/NNG;약화/NNG,17.0,22.0,39.0,0.7189553431662695,Dovish
148,968,세계/NNG;침체/NNG,17.0,42.0,59.0,0.37659565594423644,Dovish
