,level_0,index,up_count,down_count,total_count,polar_score,polarity
68,286,물가/NNG;인상/NNG,47.0,31.0,78.0,1.410625853574806,Hawkish
69,288,인상/NNG;쉽/VA;않/VX,47.0,25.0,72.0,1.7491760584327594,Hawkish
70,290,국고채/NNG;오르/VV;국고채/NNG;오르/VV,46.0,24.0,70.0,1.7832911943241785,Hawkish
71,296,대출/NNG;제한/NNG,46.0,27.0,73.0,1.5851477282881588,Hawkish
72,298,인상/NNG;그치/VV,45.0,30.0,75.0,1.3956191955580528,Hawkish
73,299,유동성/NNG;축소/NNG,45.0,30.0,75.0,1.3956191955580528,Hawkish
74,302,심리/NNG;부담/NNG,45.0,23.0,68.0,1.8203728637713732,Hawkish
75,303,물가/NNG;억제/NNG,45.0,32.0,77.0,1.3083929958356744,Hawkish
76,304,경제/NNG;호조/NNG,44.0,26.0,70.0,1.5745447334501108,Hawkish
77,305,우려/NNG;인상/NNG,44.0,28.0,72.0,1.4620772524893886,Hawkish
78,306,인플레이션/NNG;압력/NNG;완화/NNG,44.0,15.0,59.0,2.7292108713135255,Hawkish
79,309,실적/NNG;모멘텀/NNG,43.0,13.0,56.0,3.0775192517433982,Hawkish
80,312,둔화/NNG;우려/NNG;크/VV,43.0,27.0,70.0,1.4817685286171918,Hawkish
81,317,절상/NNG;압력/NNG,43.0,28.0,71.0,1.4288482240237206,Hawkish
82,323,심리/NNG;확산/NNG,42.0,29.0,71.0,1.347494395711223,Hawkish
83,326,순이익/NNG;오르/VV,42.0,30.0,72.0,1.3025779158541826,Hawkish
84,330,대출/NNG;부실/NNG,42.0,29.0,71.0,1.347494395711223,Hawkish
85,333,경제/NNG;인상/NNG,41.0,23.0,64.0,1.658561942547251,Hawkish
86,334,호조/NNG;상승/NNG,41.0,29.0,70.0,1.3154111958133368,Hawkish
87,336,인플레이션/NNG;압력/NNG;크/VV,41.0,15.0,56.0,2.543128311905785,Hawkish
88,339,위험/NNG;낮/VA,41.0,23.0,64.0,1.658561942547251,Hawkish
89,340,부진/NNG;우려/NNG,41.0,26.0,67.0,1.4671894107148757,Hawkish
90,342,집값/NNG;급등/NNG,40.0,11.0,51.0,3.383319261958915,Hawkish
91,344,심리/NNG;불안/NNG,40.0,25.0,65.0,1.4886604752619228,Hawkish
92,352,수요/NNG;압력/NNG,40.0,13.0,53.0,2.8628086062729285,Hawkish
93,354,물가/NNG;상승/NNG;압력/NNG;높/VA,40.0,20.0,60.0,1.8608255940774034,Hawkish
94,355,인상/NNG;긴축/NNG,40.0,14.0,54.0,2.6583222772534336,Hawkish
95,360,인상/NNG;나/VV;않/VX,39.0,15.0,54.0,2.4190732723006247,Hawkish
96,361,하락/NNG;부담/NNG,39.0,23.0,62.0,1.57765648193519,Hawkish
97,362,인상/NNG;종결/NNG,39.0,10.0,49.0,3.6286099084509367,Hawkish
98,371,인상/NNG;가능성/NNG;높/VV,38.0,15.0,53.0,2.357045752498045,Hawkish
99,377,인상/NNG;속도/NNG;늦/VV,37.0,12.0,49.0,2.8687727908693303,Hawkish
100,381,물가/NNG;높/VA,37.0,17.0,54.0,2.0250160876724688,Hawkish
101,385,인플레이션/NNG;부담/NNG,37.0,26.0,63.0,1.3240489804012294,Hawkish
102,390,인상/NNG;종료/NNG,37.0,8.0,45.0,4.303159186303996,Hawkish
103,391,둔화/NNG;추세/NNG,37.0,24.0,61.0,1.4343863954346652,Hawkish
104,392,신용등급/NNG;하락/NNG,37.0,26.0,63.0,1.3240489804012294,Hawkish
105,396,실적/NNG;회복/NNG,36.0,20.0,56.0,1.6747430346696632,Hawkish
106,398,경제/NNG;과열/NNG,36.0,24.0,60.0,1.3956191955580526,Hawkish
107,401,글로벌/NNG;경제/NNG;회복/NNG,36.0,22.0,58.0,1.522493667881512,Hawkish
108,402,내수/NNG;확대/NNG,36.0,18.0,54.0,1.8608255940774037,Hawkish
109,405,위험/NNG;확대/NNG,36.0,25.0,61.0,1.3397944277357305,Hawkish
110,408,많/VA;인상/NNG,35.0,16.0,51.0,2.03527799352216,Hawkish
111,417,대출/NNG;규제/NNG;강화/NNG,35.0,22.0,57.0,1.4802021771070255,Hawkish
112,418,채산성/NNG;악화/NNG,35.0,20.0,55.0,1.6282223948177281,Hawkish
113,419,대출/NNG;어렵/VA,34.0,16.0,50.0,1.9771271937072412,Hawkish
114,420,경제/NNG;확장/NNG,34.0,24.0,58.0,1.3180847958048274,Hawkish
115,422,cd/NNG;상승/NNG,34.0,20.0,54.0,1.581701754965793,Hawkish
116,425,세계/NNG;경제/NNG;불확실성/NNG,34.0,19.0,53.0,1.6649492157534664,Hawkish
117,426,하락/NNG;줄/VV,34.0,21.0,55.0,1.5063826237769458,Hawkish
118,427,통화/NNG;절상/NNG,34.0,20.0,54.0,1.581701754965793,Hawkish
119,428,과열/NNG;억제/NNG,34.0,17.0,51.0,1.8608255940774037,Hawkish
120,430,시스템/NNG;안정/NNG,34.0,24.0,58.0,1.3180847958048274,Hawkish
121,431,위축/NNG;우려/NNG,34.0,20.0,54.0,1.581701754965793,Hawkish
122,432,판매/NNG;부진/NNG,34.0,18.0,52.0,1.7574463944064367,Hawkish
123,434,유가/NNG;안정/NNG,34.0,21.0,55.0,1.5063826237769458,Hawkish
124,435,예상/NNG;상승/NNG,34.0,21.0,55.0,1.5063826237769458,Hawkish
125,439,둔화/NNG;위험/NNG,33.0,15.0,48.0,2.046908153485144,Hawkish
126,441,소비/NNG;부담/NNG,33.0,21.0,54.0,1.4620772524893886,Hawkish
127,443,높/VA;증가/NNG,33.0,22.0,55.0,1.3956191955580526,Hawkish
128,445,은행/NNG;위험/NNG,33.0,20.0,53.0,1.535181115113858,Hawkish
129,449,인플레이션/NNG;완화/NNG,33.0,21.0,54.0,1.4620772524893886,Hawkish
130,450,달러엔/NNG;상승/NNG,32.0,16.0,48.0,1.8608255940774034,Hawkish
131,458,인상/NNG;멈추/VV,32.0,17.0,49.0,1.7513652650140268,Hawkish
132,462,실업률/NNG;낮/VA,32.0,22.0,54.0,1.3533277047835661,Hawkish
133,463,닷컴/NNG;거품/NNG,32.0,11.0,43.0,2.7066554095671322,Hawkish
134,467,주택/NNG;거래/NNG;활성화/NNG,32.0,15.0,47.0,1.9848806336825637,Hawkish
135,468,주택/NNG;둔화/NNG,31.0,15.0,46.0,1.922853113879984,Hawkish
136,470,대출/NNG;억제/NNG,31.0,19.0,50.0,1.5180419320105136,Hawkish
137,471,국채/NNG;가격/NNG;오르/VV,31.0,22.0,53.0,1.3110362140090799,Hawkish
138,473,수요/NNG;높/VA,31.0,21.0,52.0,1.3734665099142742,Hawkish
139,474,수입/NNG;늘/VV,31.0,17.0,48.0,1.6966351004823388,Hawkish
140,475,인플레이션/NNG;가속/NNG,31.0,13.0,44.0,2.21867666986152,Hawkish
141,480,인상/NNG;추세/NNG,31.0,17.0,48.0,1.6966351004823388,Hawkish
142,482,국고채/NNG;오르/VV;상승/NNG,31.0,18.0,49.0,1.6023775948999865,Hawkish
143,493,국채선물시장/NNG;하락/NNG,30.0,21.0,51.0,1.329161138626717,Hawkish
144,494,부동산/NNG;위축/NNG,30.0,14.0,44.0,1.9937417079400752,Hawkish
145,496,우려/NNG;덜/VV,30.0,18.0,48.0,1.550687995064503,Hawkish
146,498,최대/NNG;확대/NNG,30.0,17.0,47.0,1.6419049359506503,Hawkish
147,501,강하/VA;성장/NNG,30.0,17.0,47.0,1.6419049359506503,Hawkish
148,505,순이익/NNG;늘/VV,30.0,21.0,51.0,1.329161138626717,Hawkish
149,506,물가/NNG;상승/NNG;압력/NNG;크/VV,30.0,18.0,48.0,1.550687995064503,Hawkish
150,512,민평/NNG;높/VA,29.0,17.0,46.0,1.5871747714189621,Hawkish
151,517,비용/NNG;높/VA,29.0,19.0,48.0,1.420103742848545,Hawkish
152,521,하락/NNG;효과/NNG,29.0,19.0,48.0,1.420103742848545,Hawkish
153,522,집값/NNG;잡/VV,29.0,17.0,46.0,1.5871747714189621,Hawkish
154,526,주택담보대출/NNG;급증/NNG,29.0,15.0,44.0,1.7987980742748237,Hawkish
155,535,수요/NNG;억제/NNG,28.0,16.0,44.0,1.6282223948177281,Hawkish
156,536,소매/NNG;판매/NNG;증가/NNG,28.0,17.0,45.0,1.5324446068872737,Hawkish
157,537,민간/NNG;소비/NNG;회복/NNG,28.0,13.0,41.0,2.0039660243910498,Hawkish
158,539,주택담보대출/NNG;규제/NNG;강화/NNG,28.0,11.0,39.0,2.368323483371241,Hawkish
159,540,통안채/NNG;떨어/VV,28.0,18.0,46.0,1.447308795393536,Hawkish
160,541,인상/NNG;불확실성/NNG,28.0,19.0,47.0,1.3711346482675606,Hawkish
161,546,정책/NNG;실패/NNG,28.0,18.0,46.0,1.447308795393536,Hawkish
162,550,인플레이션/NNG;둔화/NNG,28.0,20.0,48.0,1.3025779158541824,Hawkish
163,553,제한적/VAX;상승/NNG,28.0,13.0,41.0,2.0039660243910498,Hawkish
164,560,소비/NNG;확대/NNG,28.0,15.0,43.0,1.7367705544722434,Hawkish
165,563,수출/NNG;증가/NNG;둔화/NNG,27.0,15.0,42.0,1.6747430346696632,Hawkish
166,564,상승률/NNG;높/VA,27.0,13.0,40.0,1.9323958092342266,Hawkish
167,570,하락/NNG;멈추/VV,27.0,19.0,46.0,1.3221655536865762,Hawkish
168,574,인상/NNG;오르/VV,27.0,15.0,42.0,1.6747430346696632,Hawkish
169,575,내수/NNG;성장/NNG,27.0,19.0,46.0,1.3221655536865762,Hawkish
170,576,수요측면/NNG;물가/NNG;상승/NNG;압력/NNG,27.0,10.0,37.0,2.5121145520044945,Hawkish
171,577,인플레이션/NNG;압력/NNG;증가/NNG,27.0,13.0,40.0,1.9323958092342266,Hawkish
172,580,가계/NNG;부실/NNG,27.0,18.0,45.0,1.3956191955580526,Hawkish
173,583,경제/NNG;경착륙/NNG,27.0,17.0,44.0,1.4777144423555852,Hawkish
174,585,gdp/NNG;호조/NNG,27.0,10.0,37.0,2.5121145520044945,Hawkish
175,586,국고채/NNG;내리/VV;국고채/NNG;하락/NNG,27.0,15.0,42.0,1.6747430346696632,Hawkish
176,593,경제/NNG;최대/NNG,26.0,14.0,40.0,1.727909480214732,Hawkish
177,596,인플레이션/NNG;우려/NNG;크/VV,26.0,10.0,36.0,2.4190732723006247,Hawkish
178,597,가격/NNG;뛰/VV,26.0,18.0,44.0,1.3439295957225692,Hawkish
179,598,인상/NNG;위안/NNG;절상/NNG,26.0,17.0,43.0,1.422984277823897,Hawkish
180,601,인상/NNG;막/VV,26.0,15.0,41.0,1.6127155148670833,Hawkish
