COUNTY,NUMBER
Jongno-gu,153531
Jung-gu,125941
Yongsan-gu,229545
Seongdong-gu,308519
Gwangjin-gu,355352
Dongdaemun-gu,349917
Jungnang-gu,405118
Seongbuk-gu,439292
Gangbuk-gu,321757
Dobong-gu,341638
Nowon-gu,548371
Eunpyeong-gu,484021
Seodaemun-gu,310821
Mapo-gu,374579
Yangcheon-gu,466723
Gangseo-gu,599501
Guro-gu,406888
Geumcheon-gu,223145
Yeongdeungpo-gu,368733
Dongjak-gu,395095
Gwanak-gu,503900
Seocho-gu,439030
Gangnam-gu,545809
Songpa-gu,667144
Gangdong-gu,432168
