2021.01.22,"86,800","30,430,330"
2021.01.21,"88,100","25,318,011"
2021.01.20,"87,200","25,211,127"
2021.01.19,"87,000","39,895,044"
2021.01.18,"85,000","43,227,951"
2021.01.15,"88,000","33,431,809"
2021.01.14,"89,700","26,393,970"
2021.01.13,"89,700","36,068,848"
2021.01.12,"90,600","48,682,416"
2021.01.11,"91,000","90,306,177"
2021.01.08,"88,800","59,013,307"
2021.01.07,"82,900","32,644,642"
2021.01.06,"82,200","42,089,013"
2021.01.05,"83,900","35,335,669"
2021.01.04,"83,000","38,655,276"
2020.12.30,"81,000","29,417,421"
2020.12.29,"78,300","30,339,449"
2020.12.28,"78,700","40,085,044"
2020.12.24,"77,800","32,502,870"
2020.12.23,"73,900","19,411,326"
2020.12.22,"72,300","16,304,910"
2020.12.21,"73,000","20,367,355"
2020.12.18,"73,000","17,613,029"
2020.12.17,"73,300","24,293,214"
2020.12.16,"73,800","17,512,081"
2020.12.15,"73,800","20,863,671"
2020.12.14,"73,800","21,510,415"
2020.12.11,"73,400","18,486,672"
2020.12.10,"72,900","39,882,928"
2020.12.09,"73,900","24,077,996"
2020.12.08,"71,700","25,000,338"
2020.12.07,"72,900","28,490,496"
2020.12.04,"71,500","28,130,533"
2020.12.03,"69,700","23,677,989"
2020.12.02,"69,500","29,703,942"
2020.12.01,"67,800","22,327,173"
2020.11.30,"66,700","43,811,016"
2020.11.27,"68,200","14,063,434"
2020.11.26,"68,000","19,023,323"
2020.11.25,"66,600","32,447,065"
2020.11.24,"67,700","32,158,235"
2020.11.23,"67,500","27,134,398"
2020.11.20,"64,700","15,068,682"
2020.11.19,"64,600","16,590,290"
2020.11.18,"64,800","22,963,790"
2020.11.17,"65,700","30,204,089"
2020.11.16,"66,300","36,354,334"
2020.11.13,"63,200","31,508,829"
2020.11.12,"61,000","19,800,573"
2020.11.11,"61,300","25,628,510"
2020.11.10,"60,200","19,073,552"
2020.11.09,"60,200","15,892,961"
2020.11.06,"60,100","16,910,230"
2020.11.05,"60,300","20,639,475"
2020.11.04,"58,500","21,718,561"
2020.11.03,"58,800","14,950,919"
2020.11.02,"57,400","20,489,076"
2020.10.30,"56,600","26,907,844"
2020.10.29,"58,100","22,636,966"
2020.10.28,"59,000","14,428,882"
2020.10.27,"59,800","17,260,416"
2020.10.26,"60,400","13,268,226"
2020.10.23,"60,200","9,322,232"
2020.10.22,"60,100","14,294,095"
2020.10.21,"60,900","15,703,443"
2020.10.20,"60,900","19,326,115"
2020.10.19,"60,000","14,474,985"
2020.10.16,"59,500","16,554,190"
2020.10.15,"60,000","17,756,232"
2020.10.14,"60,900","16,086,716"
2020.10.13,"60,900","19,247,631"
2020.10.12,"60,400","16,145,837"
2020.10.08,"59,700","24,589,924"
2020.10.07,"59,900","14,861,838"
2020.10.06,"59,000","14,463,826"
2020.10.05,"58,700","20,228,289"
2020.09.29,"58,200","15,503,563"
2020.09.28,"58,200","12,614,080"
2020.09.25,"57,900","11,444,683"
2020.09.24,"57,800","17,564,020"
2020.09.23,"58,600","20,111,398"
2020.09.22,"58,200","20,830,381"
2020.09.21,"59,200","15,140,387"
2020.09.18,"59,300","18,884,571"
2020.09.17,"59,500","25,108,356"
2020.09.16,"61,000","17,041,444"
2020.09.15,"61,000","17,877,075"
2020.09.14,"60,400","20,648,281"
2020.09.11,"59,000","16,017,098"
2020.09.10,"59,200","29,923,293"
2020.09.09,"58,400","30,597,399"
2020.09.08,"58,700","31,517,520"
2020.09.07,"56,500","18,685,880"
2020.09.04,"55,600","22,139,109"
