* 통계표명 :,중위매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월
,,,종로구,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,435000,434000,434000,434000,434000,434000,434000,434000,394000,394500,394500,394500,394500,394500,394500,394000,397000,397000,396500,396500,396500,396500,397000,397000,400500,400500,400500,404000,406000,406000,408000,408500,408500,409500,409500,410500,411500,412000,412000,414000,415000,415500,416000,416500,416500,417000,417500,418500,420000,422000,424000,426000,427000,427500,428500,537500,540000,550000,565000,570000,570000,570000,572500,580000,600000,600000,602500,602500,685000,685000,685000,685000,685000,685000,685000,688000,689500,691500,694500,698000,847000,850000,850000,852000,852000,852000,869500,870000,870000,870000,870000,872000,875500,876500
,,,중구,496909,496909,492500,492500,487500,485000,485000,485000,480000,480000,480000,470000,470000,470000,467500,470000,470000,470000,467500,465000,465000,465000,465000,465000,465000,462000,462000,462000,462000,462000,463000,463000,463000,463000,468000,468000,468000,468000,468000,468000,470000,473000,500000,501000,501500,502500,502500,504500,504500,504500,505000,505000,505000,505500,505500,504000,505500,508000,510500,512000,512000,512500,513500,513500,515000,519000,522000,527000,529000,529000,533500,600000,617500,632500,635000,647500,650000,657500,667500,667500,680000,690000,690000,690000,777500,775000,772500,772500,770000,770000,772500,775000,775000,778500,779500,790000,810000,810000,812500,813000,813500,814500,816500,822500,822500,822500,822500,827000,829000,832000
,,,용산구,780000,780000,780000,780000,780000,778000,776500,770000,765000,757500,755000,750000,750000,735000,730000,730000,720000,717500,712500,705000,705000,675000,675000,670000,670000,671000,671000,666000,665000,665000,665000,665000,665000,665000,667500,667000,667000,667000,667000,667000,666000,666500,687500,687500,687500,687500,687500,687500,688500,688500,688500,688500,688500,686500,686500,684000,689000,692500,693500,696000,697500,697500,697500,700500,700500,702500,712500,735000,735000,735000,735000,885000,900000,937500,950000,950000,955000,962500,967500,992500,1001500,1007500,1005000,1002500,1320000,1320000,1320000,1317500,1317500,1312500,1312500,1312500,1317500,1327500,1337500,1340000,1300000,1305000,1305000,1290000,1280000,1265000,1285000,1297500,1307500,1317500,1317500,1325000,1327500,1345000
,,동북권,,339352,339437,339054,336422,334593,332096,329527,327908,327028,324352,320946,321021,319289,317979,317519,315684,315075,315965,314936,314111,313708,315486,315626,317082,318858,320670,321462,321669,321598,321471,321033,320991,321615,323094,324081,324013,324845,325793,327408,329297,330251,332199,340589,342549,344599,347044,349461,351277,351143,351150,351420,351109,351500,352053,352397,354185,356483,357954,359018,359991,360024,360019,360830,361742,363344,367644,370469,373174,372433,373091,374308,422396,425212,427860,431162,431678,432313,433275,433917,437073,442875,446023,447768,447550,541369,539323,536416,534995,534075,532909,533182,532941,533739,536296,538311,541890,564717,565478,566840,566918,566356,568139,578094,581572,583509,583983,584540,586696,589625,593282
,,,성동구,476500,475000,474000,474000,471500,469000,462500,459000,457000,450000,441000,441000,440000,434000,432500,427500,430000,434000,435000,434500,434500,445000,440000,442500,447500,447500,450000,450000,450000,449500,449500,449500,450000,450000,450000,448500,449500,452500,457500,462500,467500,470000,470000,472500,472500,477500,480000,482500,482500,482500,482500,482500,482500,483500,483500,487500,487500,489000,493500,494500,494500,493000,493000,494500,495500,500500,503500,504000,500500,502000,509500,622500,633500,650000,656000,658000,658500,657500,657500,662500,677000,677000,677000,677000,850000,850000,850000,845000,840000,830000,831500,832000,835000,844500,850000,852500,876000,878000,879000,879000,877000,878500,894000,895500,896500,896500,897000,898000,900000,903000
,,,광진구,557500,557500,557500,550000,550000,547500,545000,542500,540000,539000,530000,527500,522500,520000,520000,520000,515000,511500,510000,507500,507500,507500,507500,507500,511500,511500,512500,511000,511000,511500,509000,509000,513000,515000,515500,515500,516500,519000,520000,525500,530000,532500,540000,540000,545500,552000,555000,562000,560000,559500,559000,559500,562000,564000,565000,565500,568000,570500,577500,579000,579500,579500,579500,579500,579500,583500,588000,597500,597500,601000,607500,700000,715000,720000,733500,740000,744000,740000,735000,736000,746000,750000,750000,750000,860000,860000,859000,859000,859000,859000,859000,859500,860000,862500,865500,870000,976500,976500,976000,976000,976000,983500,1000000,1005000,1010000,1010000,1010000,1012500,1017500,1017500
,,,동대문구,355000,355000,355000,355000,355000,353500,354000,352500,352500,348000,345000,340000,340000,340000,340000,335000,332500,334500,333000,330500,330000,332500,332500,337500,342500,342500,342500,342500,342500,342500,340500,340500,339000,339500,339500,342000,342000,342500,343000,343000,343000,350000,361000,362500,363500,368000,371000,374000,374000,373500,373500,373500,375000,376500,376500,381000,383000,385500,385500,386500,386500,386500,388500,390000,395000,397500,400000,400000,400000,400000,400000,449000,449000,450000,452500,454000,454000,460500,463000,463000,467500,471500,472500,472500,595000,591500,584500,580000,580000,580000,580000,580000,580000,581000,581000,582000,617500,617500,619000,620000,620000,623000,636000,641000,646000,646500,646500,647500,649500,652500
,,,중랑구,305000,307500,307500,307500,302500,297500,297500,297500,295000,297500,290000,290000,290000,287500,287500,287500,288500,292500,295000,295000,294500,294500,296000,293500,286500,286500,288000,288000,288000,286000,286000,286000,286000,286000,287000,287000,287000,290000,291000,293000,293000,295000,297000,297000,302000,302000,302000,303000,303000,304000,304000,304000,304000,305000,305000,306000,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,308000,312500,310500,310500,310500,342500,342500,342500,341500,341500,347500,350000,350000,351500,359000,357500,360500,361000,484000,484000,481500,483000,483000,483000,482500,480000,480000,485000,483500,486000,472500,472500,472500,472500,472500,477500,486500,491000,492000,492000,491500,492500,493000,493000
,,,성북구,370000,370000,370000,368000,368000,368000,365500,363000,362000,360000,360000,360000,360000,360000,358000,354500,350000,350000,350000,347500,347500,347500,351500,356500,362500,363000,363000,363000,362500,362500,362500,363500,363500,364000,364000,365000,365000,365500,366000,367000,367000,370000,378000,378500,380000,381500,389000,389500,389500,389500,389500,389500,389500,389500,390000,394000,398500,398500,399000,401500,401500,401500,401500,401500,401500,402500,404000,409000,411000,413500,413500,450000,450000,452500,460000,460000,460000,461000,466000,470000,472500,475500,478500,478500,550000,540000,540000,538500,538500,538500,537500,536500,537500,538500,542500,549500,588500,588500,591000,591000,591000,591500,594500,595500,598500,600500,601500,605000,607000,611500
,,,강북구,345000,345000,345000,340000,339000,338000,338000,337500,336000,333000,325000,323500,320500,320000,319000,319500,322000,322000,320000,320000,320000,320000,321000,321000,321500,322000,322500,322500,322500,322500,322500,322500,323000,324500,325000,325000,325000,325000,325500,327000,327000,327000,334000,334000,336000,341000,343000,345000,345000,345000,345000,345000,345000,345000,345000,348000,345000,345000,345000,345500,345500,345500,345500,345500,345500,346500,346500,350000,350000,350000,351500,375000,382500,382500,385000,382500,382500,382500,377500,392500,397500,402500,405000,405000,455000,455000,452500,450000,450000,450000,452500,454000,454000,454000,457500,460000,465500,465500,465500,465500,466000,469500,472500,472500,472500,472500,473500,474500,475500,481500
