* 통계표명 :,주택거래_연도별,,,,,,,,,,,,,,,,,
* 수록기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 조회기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:54:21,,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
지 역,,,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,영광군,,411,405,529,778,776,772,766,658,824,645,642,858,856,784,1106,74
,장성군,,572,485,433,382,681,498,598,566,609,678,554,561,650,639,853,69
,완도군,,341,372,387,442,437,523,536,534,491,630,907,604,610,562,680,237
,진도군,,183,215,271,249,340,269,288,313,307,340,393,364,462,405,480,35
,신안군,,117,101,137,204,165,221,220,263,279,318,303,306,305,339,363,29
경북,,,59910,53477,48772,50519,54487,71043,59126,68558,78634,94760,69876,76185,64437,56605,78593,9352
,포항시,,16550,13517,13230,11585,12500,18251,15720,18147,18030,18940,13083,13912,12757,12017,18019,2201
,,남구,6454,7068,5370,4774,5377,6492,6308,6510,5949,7002,6473,5529,5526,4625,6378,1290
,,북구,10096,6449,7860,6811,7123,11759,9412,11637,12081,11938,6610,8383,7231,7392,11641,911
,경주시,,5857,5058,3993,5027,5848,6270,5737,5589,6052,8936,5923,6337,6460,4618,8256,734
,김천시,,2428,2832,1611,1603,1527,2789,2477,2878,3871,6052,4924,2959,2730,3064,3205,405
,안동시,,2600,2895,2445,2476,3119,3621,3386,3376,4851,4776,3536,4066,3166,2929,3724,358
,구미시,,12862,11056,8226,12446,11731,17757,10931,15494,15439,19067,12688,16879,11552,8969,15612,1359
,영주시,,1164,2455,2625,1933,1567,1879,1825,1891,1818,1881,2355,1565,1545,2431,2063,142
,영천시,,1731,1563,1900,1680,2265,1996,1865,2113,3214,3442,2301,3246,2604,2404,2617,302
,상주시,,1116,2033,1406,1118,1445,1539,1478,2083,1762,2348,1941,1795,2313,1559,2417,146
,문경시,,940,797,1304,1410,1116,1252,1123,1120,1822,1319,1372,1537,1139,1038,1381,105
,경산시,,7291,4892,4275,4903,6657,7078,6657,6097,11657,13725,9978,9474,9725,8263,10971,2481
,군위군,,201,190,202,191,206,259,242,306,354,343,363,302,317,306,401,29
,의성군,,518,433,533,471,443,540,552,588,632,893,715,701,643,698,749,62
,청송군,,190,234,214,226,239,336,287,270,332,340,319,317,340,272,365,37
,영양군,,174,111,169,171,172,221,208,212,219,223,269,209,228,230,268,19
,영덕군,,443,460,370,447,444,500,450,565,641,633,1097,746,569,583,642,41
,청도군,,565,511,464,514,507,692,657,883,949,1014,855,838,808,772,911,82
,고령군,,454,381,559,314,559,628,504,516,490,597,485,471,428,377,516,45
,성주군,,458,407,342,372,366,423,485,779,550,741,524,898,584,598,647,224
,칠곡군,,2643,2244,3434,2171,2290,3135,2470,3897,3890,7019,2959,3333,2690,2396,2660,243
,예천군,,335,311,354,372,382,592,567,555,470,857,2449,4940,2364,1524,1393,212
,봉화군,,366,306,316,348,386,480,370,416,482,535,560,549,437,511,483,32
,울진군,,932,654,703,612,623,671,1012,690,1015,1001,1067,1011,949,944,1176,88
,울릉군,,92,137,97,129,95,134,123,93,94,78,113,100,89,102,117,5
경남,,,72877,68576,81813,77105,89918,88755,75269,94553,119263,117188,100245,113816,77257,85883,111858,8097
,(구)창원시,,10634,9003,8313,10067,5847,-,-,-,-,-,-,-,-,-,-,-
,창원시,,-,-,-,-,13403,29611,16968,22755,34174,38093,21850,28333,17764,22333,37056,2064
,,의창구,-,-,-,-,2264,6972,3582,4824,9074,8793,3618,8901,3514,9510,10439,244
,,성산구,-,-,-,-,3868,7706,3745,5513,8019,6485,3522,3861,3527,4855,8600,204
,,마산합포구,-,-,-,-,2432,5083,2498,2940,4589,5779,3994,5052,2703,2333,6769,893
,,마산회원구,-,-,-,-,2366,4815,4046,4663,4836,7547,4991,4594,3834,2959,6120,297
,,진해구,-,-,-,-,2473,5035,3097,4815,7656,9489,5725,5925,4186,2676,5128,426
,마산시,,8304,6961,7185,8830,7059,-,-,-,-,-,-,-,-,-,-,-
,진주시,,7284,6227,6035,6959,8758,10827,6558,6432,13068,12384,11798,12504,10572,11816,10117,964
,진해시,,4859,2923,7070,4528,2514,-,-,-,-,-,-,-,-,-,-,-
,통영시,,2469,3236,4637,3840,4478,3181,2944,3479,4329,4855,3585,3092,3978,2339,2627,241
,사천시,,4073,4208,2707,1728,3082,3126,2348,2893,2703,3132,2949,6548,3008,1963,2537,234
,김해시,,13174,13112,16480,14421,16062,12407,19374,25908,20217,18328,15928,15957,12039,22419,22195,1386
,밀양시,,1565,2210,1567,1287,1395,2404,1795,1740,2588,2793,2977,3909,2706,2112,2752,532
,거제시,,5955,5550,7998,8232,7805,9088,9458,9605,13096,10370,6854,7085,8238,4262,7758,704
,양산시,,7389,8970,11919,8747,12773,9676,7275,14484,18763,17460,24214,27129,11595,11589,18434,1347
,의령군,,224,241,276,279,296,322,327,375,442,439,424,359,436,422,460,27
,함안군,,2624,1290,2887,2949,1354,1592,1818,1120,2682,1886,1218,1551,887,744,1132,91
,창녕군,,798,785,767,884,844,1542,1151,896,1237,1627,1696,1657,987,1026,994,76
,고성군,,682,1088,880,1152,714,1315,802,940,1370,1041,1377,935,717,676,877,61
,남해군,,545,482,499,592,520,670,709,654,952,872,802,950,745,786,1067,80
,하동군,,328,356,421,626,558,623,1159,639,620,642,639,633,600,532,690,57
,산청군,,318,327,308,332,423,364,389,465,496,800,558,522,480,441,740,40
,함양군,,502,573,484,508,554,595,703,575,581,598,696,676,490,797,622,45
,거창군,,741,686,1018,744,853,882,916,978,1290,1088,2107,1255,1419,1002,1124,90
,합천군,,409,348,362,400,626,530,575,615,655,780,573,721,596,624,676,58
(구)제주,,,5148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)제주시,,3873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서귀포시,,549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북제주군,,466,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남제주군,,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,,,4203,7469,7223,7291,10520,12537,12085,13859,15974,19910,20808,19409,17394,13310,14414,1535
,제주시,,3455,5834,5271,5598,8638,10068,9608,10582,11857,12359,13437,13317,12144,9519,10174,1009
,서귀포시,,748,1635,1952,1693,1882,2469,2477,3277,4117,7551,7371,6092,5250,3791,4240,526
