* 통계표명 :,평균매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:48:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월
,,,종로구,501646,501646,501646,501646,501646,501280,501280,501646,501329,500024,499829,499805,499805,499805,499439,499329,499000,497707,496585,495378,495207,495817,496061,496195,479337,479360,479360,478686,478477,478233,478116,477988,479093,478674,478453,481791,481884,481872,482860,485116,486174,486744,500407,501140,501791,502570,503733,504151,504337,504372,504535,504616,505291,506163,507384,508488,509012,510047,511500,512419,513023,513302,514302,515605,516640,518721,521244,524012,524488,525872,527942,597750,602125,607646,611500,615833,619167,622708,626417,631021,637167,642313,643875,644083,710411,709786,709661,709554,709214,709250,709250,709679,711357,713732,715696,720375,1022319,1023083,1023917,1023250,1021861,1022514,1029542,1033625,1036486,1036681,1037986,1039903,1041444,1044347
,,,중구,545130,545030,540348,539800,536320,524800,519200,513900,506800,503260,499100,495320,493920,494200,491900,492000,494140,495320,490360,485860,485120,486040,486240,487300,502759,502259,503185,503278,503778,503704,504241,504481,504833,505852,507796,508556,509648,511296,513815,516407,517519,519370,535556,536944,538519,541241,542463,544444,545037,545296,545352,545648,546463,547278,548093,549500,550778,551852,553481,553907,554130,554278,554815,555815,556815,559889,562278,565481,566111,567259,569852,619150,623017,631950,640967,646217,651383,655550,661633,670733,682467,688617,691400,692683,775667,773200,771283,769767,768983,768583,768833,770233,771567,776133,780283,783633,795743,796557,797357,796986,796157,796086,802257,806143,807771,808743,809900,812157,814614,820100
,,,용산구,852152,851318,846970,845758,845439,843879,841500,835667,829803,821242,812455,809970,807000,805182,802303,791091,787545,785000,781576,775833,772379,768621,766955,765000,761439,757818,754864,753258,750879,749530,748667,748152,748606,750364,750879,750121,750030,750652,751939,752955,754136,754879,784439,785485,787015,788864,790530,790985,791288,791682,791985,793182,794076,796015,798955,801682,804015,808227,811303,812667,813773,814136,816303,819015,822379,828576,833212,838439,838864,839682,840955,1065833,1080385,1107821,1122308,1126141,1129295,1132756,1138654,1157410,1172949,1177103,1176615,1173987,1378500,1374816,1371224,1367276,1365632,1363789,1364605,1366066,1368579,1374658,1383368,1392408,1389939,1392207,1393524,1392439,1389780,1389963,1399354,1406439,1411232,1412659,1413768,1416951,1421012,1427366
,,동북권,,362309,361922,360939,359151,357336,355281,353374,351637,350216,348066,345291,344536,342370,340313,339043,338215,338134,337406,335899,334113,333473,334786,335091,335319,337411,338630,340141,340694,340527,340189,339893,339776,340467,341417,341862,342176,342181,343083,344594,346638,348351,350254,359323,361662,364430,367311,370003,371456,371592,371742,371781,371966,372212,372675,373245,374162,374619,376378,378162,378845,378938,378854,378929,379415,380859,383438,385729,387295,387236,387918,389093,438199,441505,445707,449147,450409,451549,452952,454704,457790,464968,467895,468924,468423,557957,556709,554967,553344,552174,551441,551600,552319,553471,556271,559056,562291,585414,586815,588416,589155,588821,589687,596352,600137,602112,603028,603947,605798,608112,612746
,,,성동구,475333,474372,471654,470551,469096,466949,464603,460449,457167,452821,447282,442231,439910,437679,435372,432756,436141,437218,435987,435026,434000,436603,437385,438128,447987,451410,454603,455808,455628,455679,455013,454910,455346,456115,456269,456500,456859,459051,461846,466397,468962,472013,475731,480141,483500,487987,491474,492910,492987,493295,493487,493923,494385,494923,495128,496244,497641,500218,502526,503321,503218,503038,503167,504346,507500,512744,516962,518897,517038,517641,521192,668542,680771,696188,704458,705333,704094,705063,708469,714073,726677,728958,729604,728615,881926,880096,876809,872383,866149,863011,863255,864926,867574,873383,879979,887713,899118,900431,901725,901549,900892,902245,910716,916402,918667,920020,921108,923402,927029,934049
,,,광진구,666091,666091,664576,662879,660758,657576,655909,654318,651439,647530,641061,636970,630606,626591,621379,620773,613485,609591,606106,602030,601015,601515,601773,600697,600879,602576,604273,603515,603697,603152,602106,601288,602409,604227,606015,607439,608515,610288,612424,615758,619424,621879,630788,636091,641409,645788,651091,654848,654955,655182,654924,654879,654636,655076,655818,656742,658848,662742,666576,668318,668409,668379,668379,668773,672091,677152,681318,685045,685682,688758,692727,751487,765921,778895,788026,791842,794197,793447,793132,794039,803842,806118,807961,806987,902974,900342,898237,896553,896079,895737,896184,897658,899434,906013,910118,916039,1014402,1014671,1014598,1013671,1012195,1013329,1021037,1025866,1029256,1030878,1032220,1034524,1038378,1047439
,,,동대문구,377115,376987,376359,373962,371833,370846,370795,369731,368538,365859,362910,359846,356423,354590,353679,351667,352308,351782,349949,348474,347718,349321,349936,350346,349817,351720,352878,353293,353146,352646,352268,352256,352902,353622,354280,354305,354500,355402,357622,359585,361500,364183,371049,374024,378963,384256,387427,389732,389744,389927,390098,390634,390976,391622,392305,393220,394049,396280,397841,398341,398415,398354,398476,399720,401610,404049,405317,406463,407024,407439,408244,446050,447890,450530,452840,455030,456880,459840,463030,468770,476320,480480,481590,480280,593904,592319,588819,586734,585628,584479,584181,585085,586223,589319,592564,596926,652774,654802,656208,656472,655708,657179,665679,669858,673406,674415,675151,677453,680226,686179
,,,중랑구,318378,318784,319730,316689,313919,310743,309243,308743,307986,307176,304176,301622,300176,297500,296878,296714,298608,298068,297081,296797,297595,298851,299095,298081,296329,296474,297395,298474,297789,297303,296895,296579,296816,296921,297211,297355,297434,297737,298132,298579,299263,300013,302882,303921,305211,307513,310539,312184,312566,312842,312816,312882,313132,313303,313447,313882,313325,314025,314863,315125,315100,315075,315150,315525,316425,317288,318113,318988,319063,319388,319938,352375,353115,354219,355302,355781,356958,358656,360531,362083,366052,368031,368521,368500,444432,443932,443193,442682,442545,442318,442080,442398,442989,444489,446216,447364,451372,452181,453085,453660,453798,454000,458202,461213,463415,464234,465032,465979,467638,469957
,,,성북구,376894,375723,375298,375096,374862,374085,372872,371798,371096,370489,369745,369745,369468,367521,365394,363223,361638,359585,357947,356713,356309,356660,357128,357713,362592,362776,364031,364163,363735,363153,362724,363092,363694,364224,364561,364857,365092,365561,366061,366990,368520,370153,384367,386051,388122,390806,393939,395500,395602,395602,395602,395612,396204,397173,398367,400061,401898,403857,405378,406714,407439,407439,407398,407255,407357,408439,409480,411531,412469,413684,414724,445000,447027,452582,459909,463073,466691,469409,471745,475355,482518,485500,486845,486691,558217,557349,556443,554915,554453,553868,553717,554217,555113,557019,559651,562491,589518,590634,592536,592268,591607,591839,597393,601402,603741,604429,605696,607089,608661,611143
,,,강북구,344750,344583,343400,339750,339367,338600,337858,337450,336133,334617,330567,326217,323917,323150,321933,321017,321433,320583,319050,318017,317133,318067,318283,318283,318317,318583,319050,319233,319050,318783,318717,318733,319300,320267,320800,321100,321167,321933,323000,324300,325133,326433,334683,335917,339800,342600,344967,346250,346317,346317,346350,346417,346650,346950,347417,348683,344125,344953,346172,346422,346422,346359,346359,346297,346844,347969,348969,350141,350547,351172,351797,383500,385643,387071,389143,390486,392986,396257,400214,404886,412929,417014,418629,418743,478758,478576,478030,478076,477727,477545,478667,479545,480848,482591,484242,485515,495000,496847,498750,500042,499917,500583,508569,512236,513611,514361,514944,516681,518278,522319
,,,도봉구,319740,319438,318854,318250,316375,313971,311156,307969,306375,300865,297250,294219,291208,286948,286115,286313,286177,285188,283219,281781,281552,282979,283125,284135,285635,286250,287333,287542,287083,286583,286854,286698,286979,287688,287990,288667,289167,289521,290333,290500,291458,292927,299021,300469,302594,304198,306573,307573,307792,308031,308063,308344,308573,308938,309385,309885,310531,311490,312875,313375,313396,312958,312927,313365,314333,316458,317948,318792,319302,319844,320792,349436,350782,351909,353036,353909,354755,355809,356991,359100,365191,368391,369300,369064,431198,429811,427830,427255,426519,426066,426387,426802,427491,429009,430670,432802,420883,422419,424285,425803,425829,426723,432455,435491,436295,436875,437402,438554,440214,443920
,,,노원구,287444,287106,285711,283338,280944,278549,275965,274514,273458,272866,271556,269986,268514,267768,267585,267676,267824,267810,266866,264225,263162,264599,264683,264845,266056,267437,269120,270042,270204,270049,269866,269690,270768,272211,272535,272627,272873,273824,275761,278732,280577,282514,293000,295056,297190,299239,300817,301606,301725,301810,301859,301986,302085,302394,302930,303697,304662,306289,308239,308718,308690,308718,308887,309324,310768,313648,316880,318401,317746,317972,318310,361606,362431,363675,364925,364975,365163,365706,366313,368413,374400,377194,378144,377669,445903,444779,443591,442091,441760,441604,441857,442292,443195,445448,447370,449487,467222,468846,470932,472685,472710,473617,480086,483210,484531,485395,486340,488586,490833,495278
,,서북권,,428866,427616,426605,426221,424851,423059,422358,420948,419474,418245,418173,413802,413273,412605,411322,410347,410233,409906,409199,407021,406619,407777,408544,408830,413064,413674,414461,414970,415121,415327,415259,415601,416733,418091,419196,419543,418468,418754,419720,421050,421819,423321,430630,431958,433771,436016,437812,438742,439222,439653,439751,439991,440862,442078,443638,445225,450729,452476,454439,455421,456164,456788,457698,462689,464339,467050,469040,470752,471329,472029,473194,535881,539499,546350,551999,555783,559171,562704,566082,573086,582253,586144,586498,586089,679158,676554,674713,673628,672914,672655,673490,674851,676639,681118,685491,690191,764497,766171,767381,766847,765161,764905,774441,778785,781597,783191,784052,786655,789379,795643
,,,은평구,355486,354135,353041,352770,350473,349595,349324,348649,348392,347905,347635,346946,346473,345054,343986,341189,340243,338676,337730,337351,337243,337905,339203,339446,351538,351638,352000,351775,352063,352388,352088,352413,353300,353700,354288,354688,356125,356350,357350,358650,359213,360513,368950,370775,372125,373763,375525,376300,376600,376825,376863,377150,378238,379025,380363,381363,382725,384438,386188,386975,387513,388488,389388,390613,391800,394100,395538,396850,397200,397538,398450,437267,438344,440122,441544,442456,444189,446244,448389,454478,463311,467011,467200,467411,537430,536907,534256,533384,532919,532756,533233,533256,534337,536500,538756,542267,601337,602496,603490,603612,603653,603929,610286,613449,616367,617337,618031,619663,621398,625051
,,,서대문구,371135,369135,368206,368278,367049,366135,364492,363492,360849,357978,358583,358586,358329,357714,356643,357871,358229,357771,356914,354571,354286,356157,357300,358257,357814,358986,359743,361271,361000,360943,361114,361271,362271,362557,362671,362814,362929,363414,364543,365914,366600,367929,372943,373829,375414,377629,379129,380200,380743,381114,381271,381614,382400,383543,384571,386357,387743,389429,391286,392171,392700,393043,393786,394800,395914,397686,399143,400114,400714,401357,402343,485000,486250,490636,494625,498807,502409,506659,509227,512682,518830,522386,522864,522523,611583,610369,609167,608321,607167,606512,606607,607619,608571,611119,614726,618262,643739,644826,645804,645533,644891,644891,651022,655065,657641,658402,659000,660500,662261,664859
,,,마포구,512887,512185,511173,510423,509554,506613,506244,504101,502607,501964,501583,500655,499905,499774,498190,497167,497381,498083,497655,494214,493512,494583,494702,494583,495881,496512,497643,498048,498369,498655,498607,499083,500488,503274,505417,505857,505372,505570,506395,507721,508709,510488,521547,522791,525140,527895,529930,530884,531465,532105,532209,532337,533093,534709,536826,538744,537867,539678,541856,543033,544056,544611,545633,555756,558067,561656,564367,566822,567544,568533,569989,649804,657137,669735,679882,685598,690108,694255,699186,709520,721176,725461,725853,724912,839735,834480,832796,831367,830786,830745,832408,835071,838031,845745,852337,858827,986221,988750,990308,989048,985192,984317,998962,1004481,1007385,1010106,1011298,1015510,1019750,1030865
,강남지역,,,649861,646556,642487,637017,633522,626949,621122,613140,607292,602648,599794,593957,588661,586374,586608,590171,592227,589865,585204,582256,583447,586453,586798,586088,585089,587101,589645,589562,588926,588479,588658,589806,593163,596018,596539,596106,597216,599664,603653,608855,613679,618577,648300,651977,656052,659899,661659,664395,664302,662530,662208,663136,665134,667064,670175,673404,669251,675970,679515,679209,678517,679369,685316,687379,690747,700303,703017,707883,707409,710199,714769,798372,820158,838508,845003,846643,846489,845318,845459,853282,872397,876784,874895,871693,960637,954488,948901,944819,942788,942606,944331,946186,948277,955848,964848,986745,1048388,1047246,1045394,1039446,1034452,1036102,1048209,1052860,1055158,1055837,1056709,1060180,1065763,1073630
,,서남권,,452515,452094,450050,446653,443790,440728,437927,432259,429140,426376,423340,419715,416121,414175,413468,415291,415913,414619,411944,410220,410777,412859,413557,412390,412751,413885,415153,414534,414091,413417,412957,413041,414923,417116,417959,418112,419031,419967,421257,424180,427109,430255,443355,445093,447878,450502,453372,455998,456721,456837,456747,457043,457730,459137,460860,462889,466938,470063,473440,474460,474992,475405,476341,478058,480332,485336,487471,490984,490998,491933,494717,528179,534716,541215,544954,548022,550422,552233,555307,561285,572665,575476,575686,575004,651671,649874,647408,644663,643133,642657,643612,644337,645274,648766,653670,661858,691581,691297,692219,692695,692475,693670,701177,705187,707843,708683,709620,711398,713979,718524
,,,양천구,582373,582127,580794,573216,570520,565588,561176,550431,547118,544216,542431,537716,532578,530078,529020,532010,531657,529598,524882,521657,521706,523833,523971,521873,524647,525196,526020,524451,524794,523833,523098,523059,528157,534461,535422,535735,535971,537951,540451,544804,549931,554196,574010,575990,579529,581706,583559,586333,586667,586863,586569,585902,586225,588882,591333,595245,599725,605961,611667,611706,611853,611314,611235,611353,613225,622804,624245,629471,628431,629275,634333,683450,705708,718667,721208,718308,717350,715925,717292,726267,742283,744592,744692,743642,808806,804463,798612,792164,789597,788881,792022,793000,793649,799910,807642,827381,876286,876079,876279,875343,873414,875407,884850,889929,893000,893800,894514,897150,900700,906261
