* 통계표명 :,아파트매매_연도별,,,,,,,
* 수록기간 :,2015년 ~ 2020년,,,,,,,
* 조회기간 :,2015년 ~ 2020년,,,,,,,
* 출처 :,국토교통부,,,,,,,
* 자료다운일자 :,2021.03.20 18:05:48,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
지 역,,,2015년,2016년,2017년,2018년,2019년,2020년
,,일산동구,5135,4558,3495,2721,2395,6096
,,일산서구,8745,8188,6451,4500,4430,9704
,과천시,,980,1037,844,664,481,372
,구리시,,3664,2834,2674,2804,2191,3284
,남양주시,,14297,10993,9099,8880,7962,17112
,오산시,,3925,3217,2404,2626,2820,8267
,시흥시,,8341,7042,6059,5133,5654,11862
,군포시,,6540,5436,4523,4846,3035,7414
,의왕시,,3071,2635,3011,2878,2086,3716
,하남시,,2551,2223,2724,3063,2597,4760
,용인시,,21393,15808,15641,22292,13320,27118
,,처인구,2328,2103,1957,1689,2125,4121
,,기흥구,10611,6775,6142,8272,5419,11718
,,수지구,8454,6930,7542,12331,5776,11279
,파주시,,7898,7199,5438,4008,3403,12505
,이천시,,2684,1994,1944,1590,1630,2591
,안성시,,3143,2082,2149,2059,1885,4070
,김포시,,7765,5339,7511,5875,5807,15492
,화성시,,11435,12001,7486,10298,10019,21036
,광주시,,3327,2341,1843,2009,2382,5823
,양주시,,4561,3846,2477,2590,2562,5270
,포천시,,1161,1078,958,732,691,1124
,여주시,,1586,1341,788,673,548,1055
,연천군,,197,199,213,145,124,182
,가평군,,509,333,264,229,210,281
,양평군,,541,455,478,595,415,688
강원,,,23524,25335,18164,14133,14907,26266
,춘천시,,6002,6543,3622,2644,2514,4941
,원주시,,7622,6737,4668,3400,3942,9101
,강릉시,,2918,3471,3085,2352,2650,4254
,동해시,,1096,1505,1139,796,766,1443
,태백시,,721,563,523,647,570,620
,속초시,,1649,3313,2342,1040,1508,2612
,삼척시,,619,612,511,584,522,690
,홍천군,,513,443,423,377,453,468
,횡성군,,218,184,196,453,243,225
,영월군,,202,179,163,189,155,183
,평창군,,504,559,478,463,466,630
,정선군,,302,268,226,282,270,211
,철원군,,143,299,126,128,112,134
,화천군,,51,45,48,38,34,38
,양구군,,365,54,117,237,170,100
,인제군,,93,98,58,108,73,96
,고성군,,154,159,136,122,226,142
,양양군,,352,303,303,273,233,378
충북,,,18782,18453,17323,15081,17881,30356
,청주시,,11148,9834,10103,9174,10668,18634
,,상당구,2094,1605,1550,1524,2038,3229
,,서원구,3171,2632,2532,2090,2359,4220
,,흥덕구,3496,2920,3097,2719,3970,7319
,,청원구,2387,2677,2924,2841,2301,3866
,충주시,,2785,2975,2560,1666,2339,4939
,제천시,,1753,1577,1224,1234,1576,2403
,보은군,,214,179,148,105,493,263
,옥천군,,215,241,278,254,214,290
,영동군,,163,912,346,248,214,197
,증평군,,508,563,379,294,278,899
,진천군,,724,821,971,799,830,1164
,괴산군,,58,53,56,53,44,62
,음성군,,1079,1173,1136,1087,1018,1356
,단양군,,135,125,122,167,207,149
충남,,,30277,22035,21004,21065,27058,40374
,천안시,,11531,7797,8812,8873,12508,19200
,,동남구,4612,3100,3343,2941,3711,6562
,,서북구,6919,4697,5469,5932,8797,12638
,공주시,,838,784,802,681,752,1694
,보령시,,763,596,590,530,712,996
,아산시,,5767,4190,4108,4837,6253,8448
,서산시,,2702,2856,1454,1491,1755,2533
,논산시,,819,729,888,636,692,999
,계룡시,,747,1058,896,570,728,1106
,당진시,,4097,1740,1416,1278,1319,1681
,금산군,,370,354,254,310,265,454
,부여군,,144,129,110,178,174,268
,서천군,,199,188,98,93,212,270
,청양군,,62,54,50,65,51,100
,홍성군,,1217,760,719,769,798,1504
,예산군,,578,488,528,450,537,670
,태안군,,443,312,279,304,302,451
전북,,,25701,24367,21580,19239,19907,32789
,전주시,,12406,11636,10001,8514,8483,16426
,,완산구,6753,6273,5377,4359,3805,8253
,,덕진구,5653,5363,4624,4155,4678,8173
,군산시,,4774,3701,3055,3887,3694,5709
,익산시,,5049,5482,4399,3505,3442,5109
,정읍시,,934,833,1057,915,1030,1673
,남원시,,468,585,520,450,488,659
,김제시,,573,482,586,527,537,672
,완주군,,761,1008,1269,772,1578,1604
,진안군,,39,50,32,48,27,40
,무주군,,45,62,58,53,54,131
,장수군,,33,19,13,57,40,36
,임실군,,80,80,99,59,58,83
,순창군,,35,38,51,22,48,82
,고창군,,191,176,226,221,203,217
,부안군,,313,215,214,209,225,348
전남,,,21365,21361,21443,19373,19166,28023
,목포시,,4429,3569,3526,2880,2632,3255
,여수시,,3962,4133,3462,3409,4415,5600
,순천시,,5253,5911,4496,4053,3779,7798
,나주시,,717,1033,1118,962,1107,1330
,광양시,,2673,2811,5188,4667,4231,4682
,담양군,,67,34,32,27,39,79
,곡성군,,36,34,39,61,172,130
,구례군,,123,81,62,90,96,105
,고흥군,,253,203,212,266,242,266
,보성군,,106,127,196,168,126,149
,화순군,,805,473,354,429,348,642
,장흥군,,124,96,75,84,132,149
,강진군,,113,96,60,56,77,145
,해남군,,281,218,292,231,297,389
,영암군,,945,1289,995,513,440,1211
,무안군,,900,725,656,814,488,1445
,함평군,,56,40,52,45,28,37
,영광군,,246,211,358,322,289,254
,장성군,,153,96,105,124,90,141
,완도군,,82,138,121,125,96,109
,진도군,,39,43,43,46,40,106
,신안군,,2,0,1,1,2,1
경북,,,36087,23564,22521,20102,23272,40134
,포항시,,8668,4911,4998,3771,5607,11531
,,남구,3619,2129,2062,1770,2455,4068
,,북구,5049,2782,2936,2001,3152,7463
,경주시,,2527,1763,1494,1535,1945,3810
,김천시,,1362,1084,994,1123,1222,2167
,안동시,,1739,1369,1805,1140,1373,1778
,구미시,,8855,5238,4652,4441,4800,9642
,영주시,,735,1314,765,759,781,834
,영천시,,1296,604,636,644,644,1026
,상주시,,728,509,581,764,480,696
,문경시,,409,547,375,316,322,366
,경산시,,4617,3921,3549,3109,3553,5081
,군위군,,3,36,31,58,31,38
,의성군,,155,103,127,138,126,120
,청송군,,26,30,84,53,49,58
,영양군,,11,11,11,3,23,25
,영덕군,,100,169,222,129,80,109
,청도군,,125,99,110,98,121,135
,고령군,,172,149,144,126,128,168
,성주군,,155,73,75,177,156,114
,칠곡군,,3957,1154,1322,1132,1097,1663
,예천군,,86,157,194,297,358,463
,봉화군,,84,96,116,55,129,64
,울진군,,274,219,235,230,243,237
,울릉군,,3,8,1,4,4,9
경남,,,53043,40152,33127,26838,34359,58235
,창원시,,16284,10241,7982,7803,11484,21188
,,의창구,2855,1591,1122,1081,2251,4313
,,성산구,5405,2837,2593,3153,4352,7366
,,마산합포구,2178,1588,1202,1119,1241,2530
,,마산회원구,3068,1932,1363,1147,1794,3437
,,진해구,2778,2293,1702,1303,1846,3542
,진주시,,5806,5730,4490,3089,3701,6385
,통영시,,1762,1460,1120,1172,1328,1676
,사천시,,2049,1590,2233,912,933,1183
,김해시,,10098,7372,5558,4209,6777,11423
,밀양시,,871,853,808,579,510,840
,거제시,,4353,3222,2629,3033,2806,3774
,양산시,,8494,7088,5535,4119,4733,9219
,의령군,,40,35,28,29,133,67
,함안군,,1180,614,1037,422,380,667
,창녕군,,706,387,390,246,267,369
,고성군,,276,311,275,218,178,264
,남해군,,71,77,98,95,139,150
,하동군,,106,137,142,136,109,146
,산청군,,169,142,94,93,86,104
,함양군,,128,138,146,63,150,144
,거창군,,513,672,445,521,533,525
,합천군,,137,83,117,99,112,111
제주,,,5025,4556,3090,3435,2969,4151
,제주시,,3722,3387,2210,2619,2357,3017
,서귀포시,,1303,1169,880,816,612,1134
